DATE,HEAT NO,GRADE,LRF Process Time-HH:mm:ss,LRF Holding Time-mm,Power Consumption,Agron Consumption,Liquidus temp (° C),CSP-SiMn,Mn HC,Mn MC,Mn LC,Mn Metal,FeSi,Ladle Cov,FeMo Metal,FeV,FeNb lumps,FeTi lumps,FeTi Wire,FeB,FeAl,Cal Carb,Al bar,Al  wire,FeP,Sul Stick,Al mix,CaSi wire,Cal Wire,CaFeAl Wire,S Wire,Ni Plate,FeCr LC,FeCr HC,Al Shot,Lead Wire,Mo Metal,Syn Slag,LRF Total Time (Min),Lift Temp,Arching Time-mm,LRF Lime,C%,Mn%,S%,P%,Si%,Cr%,Ni%,Mo%,V%,Ti%,Al%,Ca%,N%,Pb%,Nb%,F-C%,F-Mn%,F-S%,F-P%,F-Si%,F-Cr%,F-Ni%,F-Mo%,F-V%,F-Ti%,F-Al%,F-Ca%,F-N%,F-Pb%,F-Nb%,Delta_C,Delta_Mn,Delta_S,Delta_P,Delta_Si,Delta_Cr,Delta_Ni,Delta_Mo,Delta_V,Delta_Ti,Delta_Al,Delta_Ca,Delta_N,Delta_Pb,Delta_Nb
2025-01-01 00:00:00,A246517,G-600-A,02:10:00,02:24:00,293.253,0.0,1528,0,30,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,248.0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,123.76666666666651,1568.0,17,1165.5,0.03764,0.09936,0.04377,0.01148,0.0112,0.01032,0.0031,0.0004,0.0002,0.00088,0.04421,0.00022,0.0046,0.00058,0.0002,0.04102,0.13,0.00681,0.01257,0.023,0.01158,0.00333,0.0004,0.0002,0.00093,0.03268,0.0021,0.0054,0.00051,0.00025,0.003380000000000001,0.03064,-0.03696000000000001,0.001089999999999999,0.0118,0.0012600000000000007,0.00023000000000000017,0.0,0.0,5.000000000000002e-05,-0.011529999999999999,0.00188,0.0008000000000000004,-6.999999999999997e-05,4.9999999999999996e-05
2025-02-28 00:00:00,D251263,G-600-A,00:00:00,01:14:00,0.0,0.0,1528,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,120.0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,6.700000000000095,1568.0,17,200.0,0.03764,0.09936,0.04377,0.01148,0.0112,0.01032,0.0031,0.0004,0.0002,0.00088,0.04421,0.00022,0.0046,0.00058,0.0002,0.04102,0.13,0.00681,0.01257,0.023,0.01158,0.00333,0.0004,0.0002,0.00093,0.03268,0.0021,0.0054,0.00051,0.00025,0.003380000000000001,0.03064,-0.03696000000000001,0.001089999999999999,0.0118,0.0012600000000000007,0.00023000000000000017,0.0,0.0,5.000000000000002e-05,-0.011529999999999999,0.00188,0.0008000000000000004,-6.999999999999997e-05,4.9999999999999996e-05
2025-02-28 00:00:00,D251261,G-600-A,00:44:00,01:18:00,2917.118,10208.07851755,1528,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,56.6,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,44.65,1570.0,16,173.0,0.04057,0.09767,0.0501,0.01379,0.01175,0.02008,0.004815,0.0004,0.0002,0.00081,0.07974,0.0002,0.0045,0.00085,0.0002,0.04152,0.13072,0.0074,0.01446,0.02424,0.02266,0.005175000000000001,0.0004,0.0002,0.00084,0.03132,0.0018,0.0054,0.00064,0.0002,0.0009499999999999995,0.033049999999999996,-0.0427,0.0006700000000000005,0.012490000000000001,0.0004900000000000009,-1.9999999999999185e-05,0.0,0.0,3.000000000000008e-05,-0.048420000000000005,0.0015999999999999999,0.0009000000000000006,-0.0002099999999999999,0.0
2025-01-01 00:00:00,A250002,G-600-A,00:54:00,01:21:00,3394.247,19897.59431514,1528,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,124.9,0,0,0,0,17.6,0,0,0,0,0,0,0,0,0,53.85,1566.0,20,446.0,0.0376,0.08877,0.03479,0.00537,0.01337,0.01373,0.00307,0.00053,0.0002,0.00089,0.06301,0.0001,0.0048,0.00061,0.0002,0.04168,0.12364,0.008,0.00483,0.01729,0.01511,0.00319,0.0004,0.0002,0.00088,0.036,0.00246,0.0053,0.00071,0.0002,0.00408,0.03487,-0.02679,-0.0005399999999999997,0.00392,0.001380000000000001,0.00012000000000000031,-9.999999999999999e-05,0.0,-9.999999999999918e-06,-0.02701,0.00236,0.0005000000000000004,0.00010000000000000005,0.0
2025-01-01 00:00:00,A250003,G-600-A,01:15:00,01:35:00,6448.388,19127.42964507,1528,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,246.3,0,0,0,0,9.650000000000002,0,0,0,0,0,0,0,0,0,74.5333333333333,1572.0,35,746.0,0.0344,0.05618999999999999,0.04462,0.01082,0.00439,0.01399,0.00378,0.0004,0.0002,0.00086,0.04124,9e-05,0.0046,0.00035,0.00069,0.0456,0.13998,0.0063,0.012,0.039565,0.02286,0.00438,0.0004,0.0002,0.0012600000000000003,0.0324,0.0013,0.0056,0.0003,0.00146,0.011200000000000002,0.083385,-0.03832,0.0011800000000000005,0.02854,0.006280000000000003,0.0006000000000000003,0.0,0.0,0.00044999999999999977,-0.00884,0.00121,0.001,-5.000000000000002e-05,0.00077
2025-01-01 00:00:00,A250004,G-600-A,00:40:00,01:04:00,1503.326,11629.50378192,1528,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,153.5,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,39.4,1572.0,8,355.0,0.039,0.08364,0.038,0.00781,0.00693,0.01024,0.00365,0.0004,0.0002,0.00086,0.04168,0.00063,0.0046,0.00027,0.00062,0.047,0.12476,0.006,0.00825,0.03353,0.00878,0.00323,0.0004,0.0002,0.00087,0.03279,0.00221,0.0054,0.00065,0.0002,0.008,0.04111999999999999,-0.032,0.0004400000000000003,0.0266,-0.0014600000000000012,-0.00042000000000000023,0.0,0.0,1.0000000000000026e-05,-0.008890000000000002,0.0015800000000000002,0.0008000000000000004,0.00037999999999999997,-0.00042
2025-01-01 00:00:00,A250005,G-600-A,01:14:00,01:27:00,3491.528,0.0,1528,0,80,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,169.0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,73.4166666666666,1569.0,18,1165.5,0.039,0.08364,0.038,0.00781,0.00693,0.01024,0.00365,0.0004,0.0002,0.00086,0.04168,0.00063,0.0046,0.00027,0.00062,0.047,0.12476,0.006,0.00825,0.03353,0.00878,0.00323,0.0004,0.0002,0.00087,0.03279,0.00221,0.0054,0.00065,0.0002,0.008,0.04111999999999999,-0.032,0.0004400000000000003,0.0266,-0.0014600000000000012,-0.00042000000000000023,0.0,0.0,1.0000000000000026e-05,-0.008890000000000002,0.0015800000000000002,0.0008000000000000004,0.00037999999999999997,-0.00042
2025-01-01 00:00:00,A250006,G-600-A,00:51:00,01:02:00,2102.535,23921.9978446,1528,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,158.1,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,51.1166666666666,1568.0,11,742.0,0.0399,0.09722,0.03711,0.00703,0.01046,0.01634,0.00322,0.0004,0.0002,0.00088,0.03826,0.00036,0.0048,0.00049,0.0002,0.041,0.10915,0.0064,0.00986,0.024,0.02286,0.00421,0.0004,0.0002,0.00107,0.02712,0.0015,0.0055,0.00034,0.00123,0.0011000000000000038,0.011929999999999996,-0.030709999999999998,0.002830000000000001,0.01354,0.006280000000000003,0.00099,0.0,0.0,0.00018999999999999996,-0.011140000000000004,0.00114,0.0007000000000000001,-0.00014999999999999996,0.0007849999999999997
2025-01-01 00:00:00,A250007,G-600-A,00:47:00,01:17:00,2849.591,24360.65235468,1528,0,57,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,130.2,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,46.7333333333333,1568.0,15,715.0,0.036,0.09332,0.037,0.01951,0.01229,0.01254,0.0032,0.0004,0.0002,0.00092,0.04127,0.00025,0.0045,0.00052,0.0002,0.041,0.13095,0.0055,0.019,0.031,0.01853,0.00448,0.0004,0.0002,0.0012600000000000003,0.03168,0.0012,0.0054,0.0002,0.00127,0.0050000000000000044,0.03763000000000001,-0.0315,-0.00051,0.018709999999999997,0.0059900000000000005,0.001205,0.0,0.0,0.00035000000000000005,-0.009590000000000001,0.0009499999999999999,0.0009000000000000006,-0.00031999999999999997,0.0007849999999999997
2025-02-28 00:00:00,D251260,G-600-A,00:51:00,01:13:00,2776.354,12916.73674556,1528,0,42,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,108.7,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,51.05,1570.0,15,329.0,0.03292,0.11282,0.026,0.01189,0.01775,0.01416,0.00264,0.0004,0.0002,0.00085,0.06839,0.00065,0.005,0.00045,0.0002,0.03658,0.13671,0.00729,0.01197,0.03237,0.0122,0.00266,0.0004,0.0002,0.00089,0.03007,0.0017,0.0054,0.00031,0.0002,0.0036600000000000035,0.023889999999999995,-0.018709999999999997,8.000000000000021e-05,0.014620000000000005,-0.00196,2.0000000000000052e-05,0.0,0.0,3.9999999999999996e-05,-0.03832000000000001,0.00105,0.0004000000000000002,-0.00014,0.0
