HEAT NO,Success_Score,F-C%,F-Mn%,F-S%,F-P%,F-Si%,F-Cr%,F-Ni%,F-Mo%,F-V%,F-Ti%,F-Al%,F-Ca%,F-N%,F-Pb%,F-Nb%
D250693,0.9465274068620427,0.03853,0.1025,0.009635000000000001,0.00972,0.01422,0.00945,0.0033,0.0004249999999999999,0.0002,0.00079,0.04636499999999999,0.000665,0.004925,0.00049,0.00031
D250693,0.9465274068620427,0.03853,0.1025,0.009635000000000001,0.00972,0.01422,0.00945,0.0033,0.0004249999999999999,0.0002,0.00079,0.04636499999999999,0.000665,0.004925,0.00049,0.00031
D250167,0.9461836389232956,0.04915,0.10572,0.009635000000000001,0.00758,0.01365,0.01235,0.00403,0.0004,0.0002,0.0009,0.04636499999999999,0.000665,0.004925,0.00058,0.00028
A250493,0.946068217465171,0.03575,0.10135000000000002,0.009635000000000001,0.01163,0.00692,0.00853,0.00268,0.00041,0.0002,0.00077,0.04636499999999999,0.000665,0.0051,0.0004,0.0002
B250520,0.945919183237358,0.04529,0.10329,0.009635000000000001,0.00799,0.0133,0.01,0.0027,0.0004,0.0002,0.0009,0.04594,0.0022,0.0052,0.001275,0.0002
B250308,0.9459132567055488,0.04074,0.1063,0.009635000000000001,0.02159,0.02169,0.01194,0.005175000000000001,0.0004,0.0002,0.00086,0.04636499999999999,0.00212,0.0055,0.00107,0.0002
A250863,0.9458664734584707,0.03588,0.1019,0.009635000000000001,0.01014,0.01457,0.00783,0.00236,0.0004,0.0002,0.00084,0.04636499999999999,0.000665,0.004925,0.00086,0.0002
A250666,0.945629583468021,0.04,0.11269,0.009635000000000001,0.01396,0.0075,0.0125,0.00372,0.0004,0.0002,0.00095,0.04636499999999999,0.000665,0.005,0.00038,0.00125
D250689,0.945629583468021,0.04,0.11269,0.009635000000000001,0.01396,0.0075,0.0125,0.00372,0.0004,0.0002,0.00095,0.04636499999999999,0.000665,0.005,0.00038,0.00125
A250926,0.9444580156187267,0.04403,0.11,0.00929,0.01064,0.01424,0.01668,0.00343,0.0004,0.0002,0.00086,0.043,0.003,0.0056,0.00073,0.00025
